,grade,stateabb,leaidC,fips,year,mn_all,mn_asn,mn_blk,mn_fem,mn_hsp,mn_mal,mn_wht,mn_wag,mn_wbg,mn_whg,mn_mfg
69,4,LA,2200940.9305555555,22.0,2013.0,210.21317402777782,233.3906469230769,199.68663434782613,216.75768140845074,211.73999095238096,204.48021478873238,219.92635060606054,-9.227671638461539,18.085984766349206,10.257385949285714,-12.277466935211265
70,4,MA,2507241.8139534886,25.0,2013.0,235.05695333333327,252.16197659574462,217.20494647058823,243.1149576150627,213.8927703508772,226.84053644351462,236.83133338582687,-11.827622797446807,17.484109308823527,18.69556410385965,-16.304331741072655
71,4,MD,2400375.0,24.0,2013.0,224.42667208333333,244.29608916666666,205.695355,230.18563416666666,214.4908761111111,218.82923833333328,233.20578000000003,-6.3487115925,28.42419368181819,21.908303999999998,-11.356397695833335
72,4,ME,2311069.5412844038,23.0,2013.0,224.84852266055046,222.80022999999997,191.22922000000003,229.87318204545454,196.89561,219.7756674712644,224.91158377358494,9.4243011,32.81616733333333,35.328918,-10.180419904588232
73,4,MI,2619276.6107660457,26.0,2013.0,215.88877668737084,228.60554681818178,194.20880079207927,219.80361086651064,205.9924264473684,212.9894160770976,219.03096950323967,-1.8028480818181818,23.05718725111111,14.922616173972603,-6.630865769210516
74,4,MN,2718237.62541806,27.0,2013.0,225.49714197324414,227.42307833333336,204.82448368421055,229.23029987068972,206.66159779999998,222.27846908713693,228.98994235294114,10.319537368999999,31.716004960526323,27.182131344,-6.496968847886358
75,4,MO,2918930.279255319,29.0,2013.0,221.18733728723421,233.10526210526314,207.42569722222217,226.45977453531583,214.05213707317077,217.0807052592593,222.9762670277777,-1.7059245678947363,22.325431557,13.844873614634148,-9.333568857048784
76,4,MS,2802602.0833333335,28.0,2013.0,204.43746402777785,239.78214200000002,196.4317907936509,209.95274042553189,203.89359933333338,199.8220923741007,215.98509864583332,-17.2642211,17.83868258878049,16.137066686666667,-10.190244382391306
77,4,MT,3012297.3020833335,30.0,2013.0,220.5604945833334,219.82849,207.09665,221.98397076923078,208.66841999999997,216.07484912280717,225.43006682926833,3.9396972999999997,17.1609345,15.589164700000001,-6.706949142
78,4,NC,3702454.2869565217,37.0,2013.0,218.92038478260864,232.5587205555556,203.14160724137926,221.27121719298245,206.8328410714286,216.61604938596489,228.70725522522523,0.3409568944444443,25.358948712235296,22.474628460714285,-4.714327120212388
79,4,ND,3808693.088235294,38.0,2013.0,218.75353602941178,217.06085,208.06986,224.93313678571425,217.78537,219.5417439285714,224.26755745454543,10.683273199999999,18.543315874999998,10.3006136,-6.709253313791668
80,4,NE,3137828.0718954247,31.0,2013.0,220.8117931372548,228.52295999999998,207.26129500000002,222.92994578947378,205.50459304347834,218.31985627906977,224.7024368148149,1.8143641333333338,23.076027,16.333066745454545,-2.854688128550724
81,4,NH,3304083.0689655175,33.0,2013.0,232.31087741379318,220.47437,207.855035,236.34901755813945,210.84444666666664,228.87987620689665,232.46429034782616,6.620727725000001,16.2413175,16.601974333333334,-7.464778327625001
82,4,NJ,3409570.4577006507,34.0,2013.0,230.40038895878533,249.60916766666668,210.49261568965514,237.56000881642515,215.63069818181822,224.50395644927536,235.60009896634602,-10.549042299572651,19.356845646597943,16.53366854960265,-12.954283700776942
83,4,NM,3501342.923076923,35.0,2013.0,203.11813661538463,234.10105250000004,203.83182666666667,208.0082680434782,199.75297820000014,197.36281020833334,217.19374823529418,-5.9986649425,17.9620743,14.300236003333337,-11.003037088478258
84,4,NV,3200284.0,32.0,2013.0,210.49859866666668,223.71567,195.88353,214.77072307692308,203.022943,208.30057153846153,216.62716933333337,3.8147582950000003,31.646896499999997,17.3748962,-7.4815330924999985
85,4,NY,3616547.623987034,36.0,2013.0,223.5547406645055,249.0481351515151,209.0469361386139,229.54732710227265,214.29663563758382,219.98293762523184,225.76167834724566,-9.25391388240625,18.35038318292308,16.68175342521739,-9.505635026988163
86,4,OH,3904988.998349835,39.0,2013.0,225.8138546039602,240.9491357692308,207.9069062365591,229.03683967071072,210.5220822222222,222.74209706984664,227.28103836393962,-5.472551836923078,17.317447194367823,13.58713927487037,-6.265535207073683
87,4,OK,4017794.1788617885,40.0,2013.0,215.70555021680204,224.80716866666668,203.6682670833333,219.63120714953268,207.78853607843132,214.73424610619477,219.6981880722892,2.8657156053333335,18.65896123454546,14.762882159591838,-5.032362624374357
88,4,OR,4106902.5827338127,41.0,2013.0,213.8351315107914,220.94337299999998,195.6010236363636,216.3060043749999,195.95067730158735,211.02796342342347,219.25866496240602,6.8269561677,27.43020909090909,25.25514733492063,-4.9289423979339615
89,4,PA,4214637.187122736,42.0,2013.0,227.31454611670048,253.3141886666667,208.4162807608695,232.31828999999968,212.46763951219518,222.8814288075313,229.5076538854807,-10.704772295111116,19.81428874588235,19.059297034999993,-9.522077856970462
90,4,RI,4400612.5,44.0,2013.0,228.5000620588235,214.80754000000002,203.49595125,233.99021441176475,206.77794076923075,222.55430656250002,230.94690058823528,4.425160733333334,16.208238562500004,16.41654856153846,-11.496830900312501
91,4,SC,4502355.679012346,45.0,2013.0,205.89926358024695,230.5013953846154,191.26929974358978,212.07780787499996,198.39928078947372,200.6086011111111,221.49347273972603,3.047713103846154,28.797544537142855,28.20251501578947,-10.886880891375004
92,4,SD,4638035.5698924735,46.0,2013.0,216.1076622580645,,190.53703000000002,218.45280599999992,199.53787499999999,212.5949281632653,222.64099397435908,,37.325577,23.570991499999998,-6.624556446279071
93,4,TN,4702322.694029851,47.0,2013.0,218.1974190298507,242.46390692307693,203.80762288461545,222.22243946564873,207.34523666666658,214.78435000000005,221.87195932330837,-7.429364735384616,22.85694855686275,18.998526241666664,-7.325469503999996
94,4,TX,4826617.575757576,48.0,2013.0,212.69601158787907,235.40112115384605,200.61598949494953,214.5609020454546,203.0902615678776,210.63775871681418,223.561920125,-2.136950762564103,23.910834739735446,18.870141149378103,-3.9286463733865493
95,4,UT,4900603.641025641,49.0,2013.0,221.9006566666667,215.36663545454547,196.84997375,226.86642216216214,202.21238708333337,218.09122394736838,226.78101342105268,13.459368590909094,29.771205875,25.94733748333333,-8.927856046486486
96,4,VA,5102122.687022901,51.0,2013.0,223.9942107633589,238.56062439999997,208.1229203448276,227.52156584615383,216.5789204,220.90414635658917,232.43135984251958,2.73981938,25.968476401190486,19.615013409200003,-6.992591272421875
97,4,VT,5005512.042553191,50.0,2013.0,227.73227138297884,,193.09085,233.92692571428572,,222.20601108695647,228.94197977011498,,45.002853,,-11.621779651891892
98,4,WA,5305036.585858586,53.0,2013.0,218.5319146969696,231.87758125000005,211.65570599999998,227.18726076470583,207.43460911504422,211.7853413253013,224.94895301775156,1.0427539997500002,19.636225016000004,18.986875628080814,-14.706321000377363
